G4	G3	G2	G1	G12	G0	G11	G10	G9	G8	G7	G6	G5
0.1750314	0.1311332	0.0351698	0.7847985	0.4175003	1.0000000	0.1292243	0.1692249	0.2452029	0.4608092	0.5154449	0.5271246	0.8549591
0.2160809	0.3298141	0.4926135	0.9239862	0.1458542	0.4342338	0.8677494	0.0083907	0.0073101	0.6195171	0.5687708	0.5347328	0.9468529
0.3093280	0.1490853	0.0586581	0.7867990	0.3148515	0.5530396	0.3545524	0.1431895	0.2885947	0.1471282	0.0214846	0.0729248	0.9995492
0.2604645	0.0920840	0.4644226	0.9913539	0.5226579	0.8196326	0.6244102	0.0736126	0.0001309	0.6066414	0.1436304	0.3514204	0.8378536
0.3202525	0.1432630	0.0351417	0.8552217	0.5952945	1.0000000	0.1312112	0.0458679	0.2004139	0.4606518	0.2168931	0.5019572	0.7794927
0.0008484	0.1852394	0.3560301	0.9771831	0.0006164	0.7743863	0.1989502	0.0660015	0.1397436	0.9999996	0.0070656	0.2528676	1.0000000
0.2076775	0.3844242	0.0753550	0.6581230	0.5247599	0.6890288	0.6167612	0.0327662	0.0339864	0.7228010	0.1983769	0.6072083	0.9999657
0.3561914	0.1534551	0.1635093	0.9697889	0.6247387	1.0000000	0.0491979	0.2193983	0.4739514	0.3112474	0.5106814	0.6355455	0.9390270
0.2290240	0.1564956	0.4965572	0.9912966	0.4604097	0.9319243	0.3640353	0.1145597	0.0002323	0.5125676	0.0617158	0.1920909	0.9999343
0.3443493	0.1546801	0.1428818	0.9647809	0.6589225	1.0000000	0.2146700	0.1418703	0.0677178	0.3757814	0.3472487	0.5780763	0.9990644
0.2669524	0.0789895	0.3457727	0.9525837	0.5426276	1.0000000	0.0513572	0.1840972	0.2963105	0.4606757	0.1491063	0.3601634	0.9896567
0.3202525	0.0813140	0.2983594	0.9885409	0.5953016	1.0000000	0.5732494	0.0310005	0.0001059	0.4606518	0.2807744	0.6774243	0.9994163
0.2984206	0.0713283	0.1069282	0.9263985	0.5679698	0.8849908	0.6021649	0.0595905	0.0002367	0.5203573	0.1493843	0.4249677	0.9291712
