alkB	ada	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp
0.1221887	0.9251957	0.9422493	0.0004925	0.4859493	0.3569424	0.5002194	0.4537151	0.4506953	0.7907076
0.2468293	1.0000000	0.9462472	0.0002747	0.5113376	0.5129642	0.4993135	0.3056295	0.7006000	1.0000000
0.2855098	0.7993631	0.8674151	0.0133230	0.5113376	0.5129642	0.4993135	0.3665343	0.6486309	1.0000000
0.1898967	1.0000000	0.9020242	0.0003009	0.2914509	0.4611374	0.4803685	0.3250547	0.3961516	0.9427308
0.3234959	0.8231788	0.9103067	0.0139611	0.6907540	0.6414172	0.4417128	0.4196404	0.5181500	0.6630931
0.4125821	0.6806733	0.6039146	0.0137683	0.6568452	0.3868025	0.4324714	0.4912027	0.6192299	0.7191870
0.2719940	0.7950390	0.8733834	0.0002402	0.5113376	0.4655194	0.4993135	0.3665343	0.6473298	1.0000000
0.1814393	0.9038301	0.9382039	0.0135617	0.6065486	0.5809592	0.4504712	0.2851489	0.6813279	0.8072711
0.0588236	1.0000000	0.9747699	0.0133230	0.5113376	0.5129642	0.6335252	0.2183915	0.7006000	1.0000000
0.1303641	0.9576763	0.8904461	0.0003269	0.2910890	0.4052899	0.4607302	0.4098971	0.6638586	0.8867081
